City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Tual,ID,82.4,broken clouds,-5.6667,132.75,Grand Vilia Hotel
181,Pecos,US,73.49,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
183,Xining,CN,49.33,scattered clouds,36.6167,101.7667,Super Leisure Hotel
186,Mutis,CO,79.57,overcast clouds,6.2262,-77.4044,Paraiso Escondido
190,Richards Bay,ZA,77.7,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
191,Samarai,PG,80.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
193,Nabinagar,BD,84.33,scattered clouds,23.8917,90.9733,Padma'r Sworone
194,Aloleng,PH,81.07,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
196,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
197,San Policarpo,PH,79.86,overcast clouds,12.1791,125.5072,Agapita M. Nicart
199,Inirida,CO,84.54,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
200,Camacha,PT,58.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
201,Kisoro,UG,69.4,light rain,-1.2854,29.685,Mt.Muhabura Climbers Rest Camp
202,Pahrump,US,68.31,scattered clouds,36.2083,-115.9839,Best Western Pahrump Oasis
203,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
204,Mae Hong Son,TH,81.05,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
205,Ewa Beach,US,73.44,clear sky,21.3156,-158.0072,Base Lodging
208,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
209,Hasaki,JP,52.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
210,Pasni,PK,80.67,clear sky,25.2631,63.471,Kashmiri Hotal
211,Farmington,US,57.2,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
214,Port Alfred,ZA,68.18,clear sky,-33.5906,26.891,The Halyards Hotel
215,Vanimo,PG,77.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
216,Narsaq,GL,44.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
217,Mersing,MY,80.51,overcast clouds,2.4312,103.8405,Timotel Hotel
219,Karaton,ID,74.32,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
221,Coquimbo,CL,55.13,fog,-29.9533,-71.3436,Hotel San Juan
225,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
226,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
230,Kannapolis,US,68.74,clear sky,35.4874,-80.6217,"Country Inn & Suites by Radisson, Concord (Kannapolis), NC"
231,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
233,Cabo San Lucas,MX,68.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
234,Urumqi,CN,61.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
235,New Norfolk,AU,53.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
236,Kantang,TH,75.13,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
237,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
239,Santa Vitoria Do Palmar,BR,70.52,clear sky,-33.5189,-53.3681,Hostel Comodoro
241,Middelburg,ZA,71.92,clear sky,-25.7751,29.4648,Oregon Place Guest House
243,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
245,Ixtapa,MX,71.22,clear sky,20.7,-105.2,hotel la terminal
246,Puri,IN,81.12,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
247,Westport,US,53.74,overcast clouds,41.1415,-73.3579,The Inn at Longshore
249,Mayo,US,52.72,light rain,38.8876,-76.5119,Resorts Resource Group International
251,Pacifica,US,53.13,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
252,Abrau-Dyurso,RU,45.86,broken clouds,44.69,37.59,Avgustin Inn
253,Tuatapere,NZ,53.28,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
254,Ormara,PK,80.83,clear sky,25.2088,64.6357,Kenara Colony house for Rent
255,Isla Mujeres,MX,84.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
257,Gondanglegi,ID,75.13,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
259,Hervey Bay,AU,74.97,clear sky,-25.2986,152.8535,Shelly Bay Resort
260,Paraiso,CR,73.96,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
263,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
264,Bowen,AU,76.28,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
265,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
267,Lompoc,US,61.59,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
268,Bacalar,MX,85.46,broken clouds,18.6667,-88.3833,Hotel Laguna Bacalar
269,Alta Floresta,BR,73.22,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
270,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
271,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
272,Sarangani,PH,80.46,overcast clouds,5.4033,125.4636,Ballistic Islet
273,Ailigandi,PA,80.4,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
275,Busayra,JO,79.25,few clouds,30.7376,35.6078,Matan Eco Villege
276,San Patricio,US,76.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
281,Dingle,PH,75.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
283,Nakanojo,JP,52.93,overcast clouds,36.5833,138.85,山木屋旅館
284,Vao,NC,76.06,light rain,-22.6667,167.4833,Hotel Kou-Bugny
286,Bardsir,IR,72.46,overcast clouds,29.9227,56.5743,هتل سجاد
289,Port Macquarie,AU,64.29,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
290,Peniche,PT,50.85,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
294,Coihaique,CL,56.01,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
295,Caceres,ES,47.7,overcast clouds,39.522,-6.3748,Ahc Hoteles
296,Katumba,TZ,70.63,light rain,-9.2333,33.6167,Rofene Hotel
298,Knysna,ZA,65.8,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
