City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Novyy Nekouz,RU,57.9029,38.07,35.01,80,100,17.56,overcast clouds
169,Mount Isa,AU,-20.7333,139.5,60.57,25,0,5.75,clear sky
170,Itaituba,BR,-4.2761,-55.9836,86.16,70,40,4.61,scattered clouds
171,Mahajanga,MG,-15.7167,46.3167,87.82,66,20,10.36,few clouds
172,Batemans Bay,AU,-35.7167,150.1833,65.1,89,100,6.4,overcast clouds
173,Olafsvik,IS,64.8945,-23.7142,28.22,61,100,33.15,overcast clouds
174,Polyarnyy,RU,69.1989,33.4478,27.79,83,100,24.7,overcast clouds
175,Castro,BR,-24.7911,-50.0119,77.56,60,25,4.52,scattered clouds
176,Yangambi,CD,0.8102,24.4336,85.98,53,71,3.67,broken clouds
177,Eyl,SO,7.9803,49.8164,81.12,67,27,13.85,scattered clouds
178,Komsomolskiy,UZ,40.4272,71.7189,77.72,23,0,2.3,clear sky
179,Sedniv,UA,51.6447,31.565,41.32,78,100,18.25,overcast clouds
180,Tual,ID,-5.6667,132.75,82.4,69,57,7.4,broken clouds
181,Pecos,US,31.4229,-103.4932,73.49,18,0,18.41,clear sky
182,Xuddur,SO,4.1213,43.8894,94.64,20,29,13.51,scattered clouds
183,Xining,CN,36.6167,101.7667,49.33,29,30,9.28,scattered clouds
184,Slave Lake,CA,55.2834,-114.769,33.78,86,100,8.05,overcast clouds
185,Upernavik,GL,72.7868,-56.1549,24.12,94,100,6.76,light snow
186,Mutis,CO,6.2262,-77.4044,79.57,84,100,1.05,overcast clouds
187,Ilulissat,GL,69.2167,-51.1,30.22,64,20,3.44,few clouds
188,Zapolyarnyy,RU,69.4154,30.8136,27.68,95,100,28.12,light snow
189,Kamyshla,RU,54.1169,52.1426,29.73,87,78,5.3,broken clouds
190,Richards Bay,ZA,-28.783,32.0377,77.7,75,2,9.91,clear sky
191,Samarai,PG,-10.6167,150.6667,80.17,83,100,14.03,overcast clouds
192,Goderich,CA,43.7501,-81.7165,43.12,75,100,6.91,overcast clouds
193,Nabinagar,BD,23.8917,90.9733,84.33,65,26,13.38,scattered clouds
194,Aloleng,PH,16.1307,119.7824,81.07,77,100,4.41,overcast clouds
195,Invermere,CA,50.5167,-116.0354,30.36,91,96,2.08,overcast clouds
196,Cayenne,GF,4.9333,-52.3333,77.04,1,75,10.36,light rain
197,San Policarpo,PH,12.1791,125.5072,79.86,85,100,13.49,overcast clouds
198,Kodiak,US,57.79,-152.4072,24.31,80,0,5.75,clear sky
199,Inirida,CO,3.8653,-67.9239,84.54,72,99,0.22,overcast clouds
200,Camacha,PT,33.0833,-16.3333,58.42,55,40,18.41,scattered clouds
201,Kisoro,UG,-1.2854,29.685,69.4,66,67,2.86,light rain
202,Pahrump,US,36.2083,-115.9839,68.31,25,43,3.06,scattered clouds
203,Bairiki,KI,1.3292,172.9752,80.6,83,20,10.36,light rain
204,Mae Hong Son,TH,19.3003,97.9685,81.05,53,51,1.48,broken clouds
205,Ewa Beach,US,21.3156,-158.0072,73.44,71,0,8.05,clear sky
206,Kargasok,RU,59.0556,80.8572,41.67,86,100,14.85,overcast clouds
207,Chokurdakh,RU,70.6333,147.9167,-14.93,99,97,6.8,overcast clouds
208,Avarua,CK,-21.2078,-159.775,78.85,89,20,5.75,few clouds
209,Hasaki,JP,35.7333,140.8333,52.29,70,100,3.98,overcast clouds
210,Pasni,PK,25.2631,63.471,80.67,66,0,12.46,clear sky
211,Farmington,US,36.7281,-108.2187,57.2,49,0,0.0,clear sky
212,Khorixas,NA,-20.3667,14.9667,84.16,17,1,10.07,clear sky
213,Buraydah,SA,26.326,43.975,95.45,7,0,6.6,clear sky
214,Port Alfred,ZA,-33.5906,26.891,68.18,67,10,5.01,clear sky
215,Vanimo,PG,-2.6741,141.3028,77.49,85,100,4.92,overcast clouds
216,Narsaq,GL,60.9167,-46.05,44.82,50,94,3.94,overcast clouds
217,Mersing,MY,2.4312,103.8405,80.51,83,98,5.75,overcast clouds
218,Ust-Nera,RU,64.5667,143.2,-11.25,100,64,4.61,broken clouds
219,Karaton,ID,-6.3424,106.1045,74.32,92,63,4.41,moderate rain
220,Srednekolymsk,RU,67.45,153.6833,-23.33,100,95,0.6,overcast clouds
221,Coquimbo,CL,-29.9533,-71.3436,55.13,100,100,8.05,fog
222,Kutum,SD,14.2,24.6667,95.34,8,5,11.27,clear sky
